lensid,MJD,filter,RA,RA_err,DEC,DEC_err,x,x_com_err,y,y_com_err,flux,flux_err,size,size_err,e1,e2,psf_sigma,sky
24573293,59823.418685,z,0,0,0,0,0.0953015789433,0,0.0813038643698,0,24.0196309535,0.3400976222783566,0.975138054393,0,-0.0191884823143,0.00543301133439,0.908511,21.923566
120117,59823.418685,z,0,0,0,0,0.100641812235,0,0.101312777565,0,1127.68855841,0.3400976222783566,0.957249904809,0,0.00084752991097,-0.00276085804217,0.908511,21.923566
30737083,59823.418685,z,0,0,0,0,0.0448534893777,0,0.0947202681682,0,75.1931567908,0.3400976222783566,1.00319964076,0,-0.0634177997708,0.0920285433531,0.908511,21.923566
35762883,59823.418685,z,0,0,0,0,0.0562064556059,0,0.228407096201,0,18.847873487,0.3400976222783566,0.956177480309,0,-0.0216930713505,-0.0194175988436,0.908511,21.923566
409363,59823.418685,z,0,0,0,0,0.0991518355541,0,0.0993388242322,0,660.212756794,0.3400976222783566,0.950068485515,0,0.0057216337882,0.00833592563868,0.908511,21.923566
19707312,59823.418685,z,0,0,0,0,0.173537908865,0,0.0502844115997,0,29.6899128065,0.3400976222783566,0.977103756694,0,0.0169296488166,-0.041311878711,0.908511,21.923566
4786161,59823.418685,z,0,0,0,0,0.0841581671882,0,0.0789801594643,0,60.7226715195,0.3400976222783566,0.9552426466,0,-0.0115369521081,0.00897883065045,0.908511,21.923566
8238505,59823.418685,z,0,0,0,0,0.114750461678,0,0.0882520437888,0,112.076641686,0.3400976222783566,0.971686155574,0,-0.000344687025063,0.000244130176725,0.908511,21.923566
49161272,59823.418685,z,0,0,0,0,0.12048150961,0,-0.0489696558369,0,61.1976224358,0.3400976222783566,0.993408966186,0,-0.0592120178044,-0.0200378578156,0.908511,21.923566
5174697,59823.418685,z,0,0,0,0,0.118691094881,0,0.0898096065958,0,92.2706646407,0.3400976222783566,0.970099426651,0,0.00782419741154,-0.0261298175901,0.908511,21.923566
38933261,59823.418685,z,0,0,0,0,-0.107958617429,0,0.473367531514,0,389.756975818,0.3400976222783566,1.07591895166,0,6.29854257568e-05,-0.21779820323,0.908511,21.923566
5976939,59823.418685,z,0,0,0,0,0.0883594584492,0,0.132223791876,0,52.1469620514,0.3400976222783566,0.98000251536,0,-0.0199530832469,-0.0209379605949,0.908511,21.923566
2535585,59823.418685,z,0,0,0,0,0.137626902694,0,0.180452244863,0,60.5356781803,0.3400976222783566,1.0030790716,0,-0.00048176854034,0.00636073714122,0.908511,21.923566
13152642,59825.256044,r,0,0,0,0,-0.0268622724598,0,-0.00336840812712,0,6.19061389305,0.04462551032948957,1.04916333145,0,0.0287133380771,0.0895849764347,0.949096,24.128617
28927224,59825.256044,r,0,0,0,0,0.326187329781,0,0.123470424375,0,3.97762808274,0.04462551032948957,1.02654080757,0,0.0352816358209,-0.00868411920965,0.949096,24.128617
24573293,59825.256044,r,0,0,0,0,0.0704557319739,0,-0.0248609181804,0,3.94032932293,0.04462551032948957,1.01650621353,0,-0.0980660766363,0.0265725869685,0.949096,24.128617
120117,59825.256044,r,0,0,0,0,0.100662954118,0,0.102173580458,0,576.277135313,0.04462551032948957,1.01638639106,0,0.00126607716084,-0.00431976187974,0.949096,24.128617
30737083,59825.256044,r,0,0,0,0,-0.0741200759977,0,0.0429489756053,0,24.6846999482,0.04462551032948957,1.16691397899,0,-0.163102760911,0.226068273187,0.949096,24.128617
35762883,59825.256044,r,0,0,0,0,0.0216553360128,0,0.3255091721,0,8.39520909693,0.04462551032948957,1.02549040973,0,-0.0243837442249,-0.0227173473686,0.949096,24.128617
409363,59825.256044,r,0,0,0,0,0.0955012833806,0,0.0969272752212,0,327.239692776,0.04462551032948957,1.01644092133,0,0.0122674815357,0.0180599167943,0.949096,24.128617
19707312,59825.256044,r,0,0,0,0,0.390381936878,0,-0.101167247658,0,6.38327145263,0.04462551032948957,1.0724331005,0,0.0427777580917,-0.100560262799,0.949096,24.128617
4786161,59825.256044,r,0,0,0,0,0.0474641054768,0,0.0306035062881,0,19.0991706979,0.04462551032948957,1.02004141133,0,-0.0326334647834,0.0235649049282,0.949096,24.128617
8238505,59825.256044,r,0,0,0,0,0.156269526052,0,0.0521311565383,0,24.3712752159,0.04462551032948957,1.0521375049,0,-0.00157802226022,0.00325779663399,0.949096,24.128617
